"id" "area_construida_m2" "Bairro" "Cep" "cidade_uf" "Endereço" "fim_termo_convenio" "situacao_termo_convenio" "termo_convenio" "Situação" "uf"
"1001877" NA "Jardim Social Arapongas                                                                             " "84174-270" "Castro                        - PR" "Rua Doutor Otávio Novaes Júnior, Atrás do Hospital Municipal, 190 " "27/09/2016" "Vigente" "5385/2013" "
                            
                            Em Reformulação" "PR"
"1017822" NA "Andrade Pinto" "27700-000" "Vassouras                        - RJ" "Rua Geraldo da Silveira,   " "31/12/2016" "Vigente" "46303/2014" "
                            
                            Em Reformulação" "RJ"
"1012823" NA "Chaperó                                                                                             " "23831-010" "Itaguaí                        - RJ" "Rua Walter Teixeira, Ruas 01, 03 e 04 do Loteamento Parque Chaperó, Gleba A, 03 " NA "Vigente" "8987/2014" "
                            
                            Em Reformulação" "RJ"
"1014598" NA "Centro                                                                                              " "59865-000" "Umarizal                        - RN" "Rua Almino Afonso, ,  00 " "15/05/2017" "Vigente" "9630/2014" "
                            
                            Em Reformulação" "RN"
"1022200" NA "Centro                                                                                              " "59490-000" "Ielmo Marinho                        - RN" "rua Princesa Isabel,,  0000 " "15/05/2017" "Vigente" "10662/2014" "
                            
                            Em Reformulação" "RN"
"1002616" NA "Residêncial Terra Nova                                                                              " "76932-000" "São Miguel do Guaporé                        - RO" "Rua Projetada B, Área Institucional 02, 00 " "17/10/2016" "Vigente" "6180/2013" "
                            
                            Em Reformulação" "RO"
"1001784" NA "Princesa Izabel                                                                                     " "76954-000" "Alta Floresta D'Oeste                        - RO" "Avenida Brasilia com a José Linhares, QUADRA 69 - LOTE 02B, 000 " "03/10/2016" "Vigente" "5380/2013" "
                            
                            Em Reformulação" "RO"
"1016923" NA "Centro                                                                                              " "69355-000" "Normandia                        - RR" "Rua F,  00 " "30/05/2017" "Vigente" "10666/2014" "
                            
                            Em Reformulação" "RR"
"20098" NA "Camobi                                                                                              " "97110-140" "Santa Maria                        - RS" "Rua Bolívia (prolongamento), Vila Jardim, 00 " "29/08/2016" "Vigente" "4216/2013" "
                            
                            Em Reformulação" "RS"
"1011004" NA "Vila Augusta                                                                                        " "94510-380" "Viamão                        - RS" "Beco do Botafogo,  0000 " "18/08/2016" "Vigente" "9872/2014" "
                            
                            Em Reformulação" "RS"
"1001988" NA "Bela Vista                                                                                          " "88790-000" "Laguna                        - SC" "RUA CARLOS C HORN ESQUINA C/ RUA PROJETADA C, Área Verde, 000 " "19/10/2016" "Vigente" "5797/2013" "
                            
                            Em Reformulação" "SC"
"1018265" NA "Interior" "89910-000" "Descanso                        - SC" "RUA XV DE NOVEMBRO,  00 " "31/07/2016" "Vigente" "32742/2014" "
                            
                            Em Reformulação" "SC"
"1001989" NA "Centro                                                                                              " "49820-000" "Canindé de São Francisco                        - SE" "Av.Rita graça feitsa,  001 " "16/12/2016" "Vigente" "7433/2013" "
                            
                            Em Reformulação" "SE"
"1012874" NA "POVOADO SÃO VICENTE                                                                                 " "49900-000" "Propriá                        - SE" "Rua Principal, ANEXO A ESCOLA MUNICIPAL PREF. GERALDO SAMPAIO MAIA, 00 " "18/08/2016" "Vigente" "9030/2014" "
                            
                            Em Reformulação" "SE"
"1003714" NA "     Morada do Verde                                                                                " "14300-000" "Batatais                        - SP" "Rua Cleire de Souza,  00 " "20/06/2016" "Vigente" "5996/2013" "
                            
                            Em Reformulação" "SP"
"1009372" NA "Jardim Graziela                                                                                     " "08695-435" "Suzano                        - SP" "Rua Nidinalva Souza Brito,  1 " "29/11/2016" "Vigente" "11698/2014" "
                            
                            Em Reformulação" "SP"
"1010990" NA "Nova Fronteira                                                                                      " "77600-000" "Paraíso do Tocantins                        - TO" "Avenida José Otávio,  02 " "15/05/2017" "Vigente" "8691/2014" "
                            
                            Em Reformulação" "TO"
"19028" 1271.78 "Centro" "57520-000" "Maravilha                        - AL" "RUA ELESBAO BARBOSA DE CARVALHO,  00 " "30/04/2015" "Vencido" "1959/2011" "
                            
                            Inacabada" "AL"
"25494" 1118.46 "Centro" "57475-000" "Pariconha                        - AL" "Rua Projetada,  00 " "14/11/2015" "Vencido" "3182/2012" "
                            
                            Inacabada" "AL"
"25461" 1145 "Jardim Lorena" "69104-614" "Itacoatiara                        - AM" "Rua do Ipe Amarelo esquina com Rua das Tulipas,  00 " "12/06/2015" "Vencido" "3609/2012" "
                            
                            Inacabada" "AM"
"25462" 0 "LINDÓIA" "69104-000" "Itacoatiara                        - AM" "RUA 10,   " "12/06/2015" "Vencido" "3609/2012" "
                            
                            Inacabada" "AM"
"19990" 1211.92 "Cajari                                                                                              " "68920-000" "Laranjal do Jari                        - AP" "Av. Belo Horizante,   " "24/04/2015" "Vencido" "1934/2011" "
                            
                            Inacabada" "AP"
"19989" 564.5 "Calumbi" "47520-000" "Ibotirama                        - BA" "Rua Proxima ao Mecardo s/n,   " "11/06/2015" "Vencido" "1895/2011" "
                            
                            Inacabada" "BA"
"29770" 2945 "Lagoa do 33" "44718-000" "Ourolândia                        - BA" "Rua Nova,   " "30/06/2015" "Vencido" "7491/2014" "
                            
                            Inacabada" "BA"
"20227" 700 "Centro" "63970-000" "Ibaretama                        - CE" "AV. JOÃO DE ALMEIDA - BAIRRO: CENTRO,  00 " "05/06/2015" "Vencido" "1383/2011" "
                            
                            Inacabada" "CE"
"20088" 500 "SERRAGEM" "62755-000" "Ocara                        - CE" "RUA VICENTE PEREIRA FILHO, S/N, SEDE DO DISTRITO DE SERRAGEM,  " "30/06/2015" "Vencido" "433/2011" "
                            
                            Inacabada" "CE"
"19323" 1118.48 "PARQUE ESTRELA DALVA XIII" "72900-000" "Santo Antônio do Descoberto                        - GO" "ÁEA PÚBLICA 03 ,  00 " "04/12/2015" "Vencido" "2083/2011" "
                            
                            Inacabada" "GO"
"20266" 564.5 "VILA DE FURNAS" "76450-000" "Minaçu                        - GO" "Rua ITAIPU, ENTRE AS RUAS CORUMBA E IVAIPORA,  " "10/10/2015" "Vencido" "1952/2011" "
                            
                            Inacabada" "GO"
"19985" 564.5 "Centro" "65860-000" "Sucupira do Norte                        - MA" "ALAMEDA LUIS GONZAGA CARNEIRO,   " "12/03/2015" "Vencido" "1867/2011" "
                            
                            Inacabada" "MA"
"18939" 564.5 "CENTRO" "65280-000" "Cândido Mendes                        - MA" "RUA FELIPE GOMES, POVOADO ESTANDARTE,  " "12/12/2014" "Vencido" "1866/2011" "
                            
                            Inacabada" "MA"
"19754" 1271.78 "Santa Cruz" "35300-000" "Caratinga                        - MG" "Rua Marta Carli,   " "22/12/2015" "Vencido" "1776/2011" "
                            
                            Inacabada" "MG"
"18076" 0 "Centro" "39470-000" "Itacarambi                        - MG" "Rua Rodonia, -,  " "30/07/2016" "Vigente" "462/2011" "
                            
                            Inacabada" "MG"
"19980" 564.5 "Centro" "79920-000" "Laguna Carapã                        - MS" "Rua Alberto Fróes,   " "05/04/2015" "Vencido" "1528/2011" "
                            
                            Inacabada" "MS"
"18985" 564.5 "Centro" "78535-000" "Marcelândia                        - MT" "RUA COLIDER, VILA ISABEL, 450 " "31/12/2015" "Vencido" "159/2011" "
                            
                            Inacabada" "MT"
"24372" 1118.48 "Centro" "78652-970" "Confresa                        - MT" "Av. 29 de Julho, esquina com Rua Cuiabá,  01 " "29/02/2016" "Vencido" "2634/2012" "
                            
                            Inacabada" "MT"
"29561" 853.2 "MAGALHÃES BARATA" "68750-000" "Curuçá                        - PA" "Rua São Raimundo, ZONA RURAL DE CURUÇÁ,  " "31/05/2016" "Vencido" "8336/2015" "
                            
                            Inacabada" "PA"
"25634" 564.5 "Centro" "68825-000" "Muaná                        - PA" "Rua Irineu Teixeira,   " "16/06/2015" "Vencido" "2841/2012" "
                            
                            Inacabada" "PA"
"18472" 0 "BOM JESUS" "58465-000" "Riacho de Santo Antônio                        - PB" "RUA - SÃO SEBASTIÃO,   " "30/10/2015" "Vencido" "121/2011" "
                            
                            Inacabada" "PB"
"24950" 1211.92 "Centro" "58745-000" "Imaculada                        - PB" "Rua Delmiro Dantas,   " "09/05/2015" "Vencido" "2887/2012" "
                            
                            Inacabada" "PB"
"24681" 1211.92 "Centro" "55170-000" "Brejo da Madre de Deus                        - PE" "Humaitá,   " "15/06/2015" "Vencido" "2961/2012" "
                            
                            Inacabada" "PE"
"19392" 564.5 "Centro" "56600-000" "Sertânia                        - PE" "Rua Edson Leite, Terreno,  " "21/01/2016" "Vencido" "1483/2011" "
                            
                            Inacabada" "PE"
"1002905" NA "Zona Rural                                                                                          " "64923-000" "Alvorada do Gurguéia                        - PI" "Assentamento Cascavel,  00 " "12/10/2016" "Vigente" "17578/2014" "
                            
                            Inacabada" "PI"
"20189" 595.05 "Centro" "64365-000" "Novo Santo Antônio                        - PI" "RUA VEREADOR PEDRO CRUZ, S/N,  " "29/05/2015" "Vencido" "1832/2011" "
                            
                            Inacabada" "PI"
"27368" 2359.34 "Conjunto A" "85860-290" "Foz do Iguaçu                        - PR" "Avenida Paraná, QUADRA 05          LOTE 0897, 00 " "31/07/2015" "Vencido" "8602/2014" "
                            
                            Inacabada" "PR"
"25746" NA "Cidade Alegria" "27525-031" "Resende                        - RJ" "Rua Perimetral Norte,  00 " "15/08/2015" "Vencido" "3035/2012" "
                            
                            Inacabada" "RJ"
"18089" 564.5 "Centro" "59182-000" "Monte Alegre                        - RN" "Rua Joaquim Gonzaga, s/n,  " "16/02/2016" "Vencido" "258/2011" "
                            
                            Inacabada" "RN"
"18087" 564.5 "Centro" "59560-000" "Poço Branco                        - RN" "Rua Projetada, S/N,  " "30/04/2015" "Vencido" "263/2011" "
                            
                            Inacabada" "RN"
"25770" NA "VILA MARACA" "69343-000" "Amajari                        - RR" "VILA MARACA,  000 " "30/06/2015" "Vencido" "3608/2012" "
                            
                            Inacabada" "RR"
"20146" 564.5 "Silvio Romero" "49400-000" "Lagarto                        - SE" "Rua Carmelita Maria de Jesus,   " "29/04/2015" "Vencido" "428/2011" "
                            
                            Inacabada" "SE"
"19401" 1118.48 "Jd Vassouras" "07950-095" "Francisco Morato                        - SP" "Rua São Domingos,   " "13/07/2015" "Vencido" "985/2011" "
                            
                            Inacabada" "SP"
"24491" NA "Cidade Nova II" "13221-583" "Várzea Paulista                        - SP" "Rua Faizão,   " "26/05/2016" "Vencido" "3129/2012" "
                            
                            Inacabada" "SP"
"24878" 1211.92 "São Jose" "77470-000" "Formoso do Araguaia                        - TO" "Av. Tomaz Evangelista,   " "27/11/2015" "Vencido" "3152/2012" "
                            
                            Inacabada" "TO"
"18943" 564.5 "Setor Central" "77593-000" "Mateiros                        - TO" "Av. Maranhão QI40, Próximo a Praça da Cachamorra, 03 " "16/02/2016" "Vencido" "186/2011" "
                            
                            Inacabada" "TO"
"24270" 1118.48 "Senador Ponpeu" "69970-000" "Tarauacá                        - AC" "Rua Raimundo Paulo da Costa, Terreno, 000 " "28/06/2016" "Vigente" "2501/2012" "
                            
                            Licitação" "AC"
"29298" NA "São Francisco" "69900-000" "Rio Branco                        - AC" "Avenida Joaquim Macedo,  00 " "30/11/2016" "Vigente" "8477/2014" "
                            
                            Licitação" "AC"
"1017620" NA "Zona Rural" "57400-000" "Pão de Açúcar                        - AL" "Sítio Garrincha,  00 " "30/06/2016" "Vigente" "31493/2014" "
                            
                            Licitação" "AL"
"1011033" NA "SANTO ELIAS                                                                                         " "69730-000" "Novo Airão                        - AM" "RUA ROSA FERNANDES ,  3 " "25/10/2016" "Vigente" "11588/2014" "
                            
                            Licitação" "AM"
"27538" NA "Paz                                                                                                 " "69049-100" "Manaus                        - AM" "Rua Comandante Noberto Von Gal, Conjunto Hiléia, 00 " "18/10/2016" "Vigente" "7928/2015" "
                            
                            Licitação" "AM"
"31926" NA "ALDEIA INDIGENA" "68980-000" "Oiapoque                        - AP" "ALDEIA KWYKWYT, RIO URUKAWÁ, 000 " "31/08/2016" "Vigente" "7937/2014" "
                            
                            Licitação" "AP"
"25612" NA "PRIMAVERA" "45012-446" "Vitória da Conquista                        - BA" "RUA CLAUDIO BOTELHO - LOTEAMENTO VELOSO, LOTE C,  " "15/09/2016" "Vigente" "2568/2012" "
                            
                            Licitação" "BA"
"1003772" NA "RESIDENCIAL RAMALHO                                                                                 " "45995-000" "Teixeira de Freitas                        - BA" "RUA k (PROJETADA 93),   " "15/04/2017" "Vigente" "5759/2013" "
                            
                            Licitação" "BA"
"1002393" NA "São José                                                                                            " "62300-000" "Viçosa do Ceará                        - CE" "Loteamento Santa Bárbara,  00 " "12/10/2016" "Vigente" "5785/2013" "
                            
                            Licitação" "CE"
"1016557" NA "Centro                                                                                              " "62450-000" "Martinópole                        - CE" "RUA CHICO NOVO, TERRENO,  " "17/05/2017" "Vigente" "10091/2014" "
                            
                            Licitação" "CE"
"25806" NA "Samambaia Sul (Samambaia)" "72314-701" "Brasília                        - DF" "QR Samambaia - QR 208 Conjunto 19 Lote 01 ,   " "11/10/2016" "Vigente" "5886/2013" "
                            
                            Licitação" "DF"
"1017647" NA "EMPOÇADO" "29600-000" "Afonso Cláudio                        - ES" "EMPOÇADO, ESCOLA, 00 " "30/06/2016" "Vigente" "32040/2014" "
                            
                            Licitação" "ES"
"25624" NA "Jabaeté                                                                                             " "29100-000" "Vila Velha                        - ES" "Rua Projetada, Loteamento Minha Casa Minha Vida, 00 " "29/06/2017" "Vigente" "4107/2013" "
                            
                            Licitação" "ES"
"1001189" NA "JARDIM PÉROLA I                                                                                     " "72910-000" "Águas Lindas de Goiás                        - GO" "RUA SANTA CATARINA APM 01, RUA SANTA CATARINA APM 01, 01 " "29/09/2016" "Vigente" "5020/2013" "
                            
                            Licitação" "GO"
"1003785" NA "PARQUE ÁGUAS BONITAS I                                                                              " "72910-000" "Águas Lindas de Goiás                        - GO" "QUADRA 40 APM 05,  00 " "14/10/2016" "Vigente" "5839/2013" "
                            
                            Licitação" "GO"
"1016501" NA "Ceramica                                                                                            " "65950-000" "Barra do Corda                        - MA" "Rua Rio Juruá, Perto do Colégio, 00 " "12/02/2018" "Vigente" "10086/2014" "
                            
                            Licitação" "MA"
"1001761" NA "Liberdade                                                                                           " "65206-000" "Pedro do Rosário                        - MA" "Rua Gelson Gonsalves ,   " "05/05/2016" "Vencido" "7757/2014" "
                            
                            Licitação" "MA"
"1024750" NA "Centro                                                                                              " "37620-000" "Munhoz                        - MG" "TRAVESSA  ROBERTO FRANCISCO DE CAMARGO,  1 " "11/12/2016" "Vigente" "11783/2014" "
                            
                            Licitação" "MG"
"1002410" NA "Serra Verde                                                                                         " "37200-000" "Lavras                        - MG" "Rua João José Párraga,  000 " "18/10/2016" "Vigente" "6126/2013" "
                            
                            Licitação" "MG"
"1001983" NA "CHÁCARA SÃO TOMAZ/ JD FLAMBOYANT                                                                    " "79000-00" "Ponta Porã                        - MS" "Av A (Luiz Quintana),  230 " "28/09/2016" "Vigente" "5383/2013" "
                            
                            Licitação" "MS"
"1009173" NA "Bairro Planalto                                                                                     " "79260-000" "Bela Vista                        - MS" "Rua Manoel Tonder Prates - Lote 06 - Quadra 04, Loteamento Tarumã, 00 " "15/03/2017" "Vigente" "7564/2013" "
                            
                            Licitação" "MS"
"1002998" NA "Hélio Ponce de Arruda                                                                               " "78118-615" "Várzea Grande                        - MT" "Rua F UM Rua Costa Rica c/ Rua H Rua Costa Rica,  00 " "11/01/2017" "Vigente" "17726/2014" "
                            
                            Licitação" "MT"
"1014075" NA "Zona Rural                                                                                          " "78338-000" "Rondolândia                        - MT" "Terra Indígena Zoró, Terra da União, 003 " "30/06/2016" "Vigente" "29769/2014" "
                            
                            Licitação" "MT"
"1016077" NA "Rural                                                                                               " "68148-000" "Brasil Novo                        - PA" "Vicinal 23, KM 75 Sul, 40 " "31/07/2017" "Vigente" "34950/2014" "
                            
                            Licitação" "PA"
"1018237" NA "Decouville                                                                                          " "67200-000" "Marituba                        - PA" "PASSAGEM FRANÇA, ESQUINA COM A RUA DECOUVILLE, 00 " "31/07/2016" "Vigente" "34957/2014" "
                            
                            Licitação" "PA"
"1017443" NA "Centro" "58900-000" "Cajazeiras                        - PB" "Margens da Br 230, Distrito de Divinópolis, 00 " "30/06/2017" "Vigente" "29821/2014" "
                            
                            Licitação" "PB"
"1011108" NA "Conjunto Rafael Fernandes                                                                           " "58337-000" "Cruz do Espírito Santo                        - PB" "Rua Severino Inácio da Silva,  01 " "05/12/2016" "Vigente" "11720/2014" "
                            
                            Licitação" "PB"
"1001774" NA "Centro                                                                                              " "56560-000" "Inajá                        - PE" "Rua Cícero Torres, Próximo a antiga fábrica de cerâmica, 190 " "19/10/2016" "Vigente" "5782/2013" "
                            
                            Licitação" "PE"
"1009177" NA "ALOISIO PINTO                                                                                       " "55290-205" "Garanhuns                        - PE" "RUA JOSÉ BONIFÁCIO, TERRENO COM MEDIDAS SUPERIOR AO SOLICITADO, 01 " "16/12/2016" "Vigente" "7581/2013" "
                            
                            Licitação" "PE"
"1018274" NA "ZONA RURAL" "64758-000" "Queimada Nova                        - PI" "LOCALIDADE PITOMBEIRA,  00 " "31/07/2016" "Vigente" "34028/2014" "
                            
                            Licitação" "PI"
"1016244" NA "Centro                                                                                              " "64580-000" "Patos do Piauí                        - PI" "Rua Projetada,   " "01/09/2016" "Vigente" "10722/2014" "
                            
                            Licitação" "PI"
"1011263" NA "Jardim Areias                                                                                       " "83514-230" "Almirante Tamandaré                        - PR" "Rua Ubaldino Teixeira de Faria,  101 " "11/01/2017" "Vigente" "6786/2013" "
                            
                            Licitação" "PR"
"1005528" NA "CONJUNTO HABITACIONAL ANTONIO EUTHYMIO CASAROTO                                                     " "86181-599" "Cambé                        - PR" "RUA ABILIO TEIXEIRA,  00 " "03/11/2016" "Vigente" "6739/2013" "
                            
                            Licitação" "PR"
"1014583" NA "Cantagalo                                                                                           " "25804-250" "Três Rios                        - RJ" "Rua Isaltino Silveira,   " "08/01/2018" "Vigente" "9354/2014" "
                            
                            Licitação" "RJ"
"1005428" NA "Santa Terezinha                                                                                     " "26420-140" "Japeri                        - RJ" "Estrada do Bananal, Estrda do bananal transversal com avevida do canal, 000 " "28/11/2016" "Vigente" "6658/2013" "
                            
                            Licitação" "RJ"
"24342" NA "ESQUINA DO BRASIL                                                                                   " "59584-000" "Touros                        - RN" "RUA PROJETADA,  00 " "15/06/2017" "Vigente" "5539/2013" "
                            
                            Licitação" "RN"
"1011047" NA "BOM FUTURO                                                                                          " "76868-000" "Machadinho D Oeste                        - RO" "AV. CASTELO BRANCO, ÁREA URBANA, 000 " "31/08/2016" "Vigente" "22697/2014" "
                            
                            Licitação" "RO"
"1002386" NA "SETOR 02                                                                                            " "76890-000" "Jaru                        - RO" "RUA SERGIPE, QUADRA 10, LOTE 04, BLOCO C, 000 " "29/06/2017" "Vigente" "5435/2013" "
                            
                            Licitação" "RO"
"1014600" NA "Novo Horizonte                                                                                      " "69373-000" "Rorainópolis                        - RR" "Rua Daniela Perez, Quadra 16, 00 " "15/05/2017" "Vigente" "9858/2014" "
                            
                            Licitação" "RR"
"24632" NA "Partenon" "90680-247" "Porto Alegre                        - RS" "Travessa Cosme e Damião,  86 " "02/06/2017" "Vigente" "4250/2013" "
                            
                            Licitação" "RS"
"1016312" NA "Centro                                                                                              " "99175-000" "Nicolau Vergueiro                        - RS" "AVENIDA 20 DE MARÇO,   " "31/07/2016" "Vigente" "34109/2014" "
                            
                            Licitação" "RS"
"1006535" NA "Serraria                                                                                            " "88115-190" "São José                        - SC" "Rua Aduci Arbueis do Nascimento, LOTEAMENTO COLINAS DO LUAR,  " "30/11/2016" "Vigente" "7430/2013" "
                            
                            Licitação" "SC"
"1014620" NA "São João (Margem Esquerda)                                                                          " "88708-071" "Tubarão                        - SC" "Rua Manoel Jovêncio da Costa, loteamento, 7 " "30/05/2017" "Vigente" "10028/2014" "
                            
                            Licitação" "SC"
"1017765" NA "Centro" "49820-000" "Canindé de São Francisco                        - SE" "Rua projetada A, centro, 00 " "31/07/2016" "Vigente" "32393/2014" "
                            
                            Licitação" "SE"
"24443" NA "Jardim Zélia" "08575-260" "Itaquaquecetuba                        - SP" "Rua Sebastião José de Almeida,  20 " "06/10/2016" "Vigente" "3115/2012" "
                            
                            Licitação" "SP"
"1001884" NA "Jardim São José                                                                                     " "11950-000" "Cajati                        - SP" "Rua São Jose,  00 " "19/10/2016" "Vigente" "6011/2013" "
                            
                            Licitação" "SP"
"1006891" NA "Jardim Medeiros                                                                                     " "77430-010" "Gurupi                        - TO" "Avenida Planalto, Quadra G,  " "15/03/2017" "Vigente" "7365/2013" "
                            
                            Licitação" "TO"
"1018473" NA "CONJ TUCUMÃ" "69900-000" "Rio Branco                        - AC" "CONJ. TUCUMÃ, PARQUE DO TUCUMÃ, 00 " "31/12/2016" "Vigente" "46694/2014" "
                            
                            Obra Cancelada" "AC"
"1018474" NA "XAVIER MAIA" "69900-000" "Rio Branco                        - AC" "Rua Sanhaçu, LOT. ANDIRÁ, 00 " "31/12/2016" "Vigente" "46694/2014" "
                            
                            Obra Cancelada" "AC"
"18061" 2850 "Centro" "57244-000" "Jequiá da Praia                        - AL" "Rua do Oitizeiro, Terreno,  " "30/04/2014" "Vencido" "249/2011" "
                            
                            Obra Cancelada" "AL"
"25475" NA "Itauna I" "69152-020" "Parintins                        - AM" "Rua Guajarina Prestes,  00 " "23/06/2014" "Vencido" "3611/2012" "
                            
                            Obra Cancelada" "AM"
"1009925" NA "ZONA RURAL                                                                                          " "69520-000" "Juruá                        - AM" "COMUNIDADE ARAPARI, RIO JURUÁ,  " "28/02/2017" "Vigente" "19372/2014" "
                            
                            Obra Cancelada" "AM"
"1003887" NA "Zona Rural                                                                                          " "46140-000" "Livramento de Nossa Senhora                        - BA" "Rua Isaías de Castro, Povoado da Barrinha, 02 " "02/11/2016" "Vigente" "6072/2013" "
                            
                            Obra Cancelada" "BA"
"1010799" NA "Centro                                                                                              " "46370-000" "Pindaí                        - BA" "RUA PROJETADA,  45 " "31/10/2016" "Vigente" "40457/2014" "
                            
                            Obra Cancelada" "BA"
"1001944" NA "Lagoa Redonda                                                                                       " "60831-661" "Fortaleza                        - CE" "Travessa Simeão,  00 " "18/10/2016" "Vigente" "5639/2013" "
                            
                            Obra Cancelada" "CE"
"32900" NA "CANINDEZINHO" "60000-000" "Fortaleza                        - CE" "RUA SAO FRANCISCO, S/N, ESQUINA COM A RUA SANTA LUZIA PRÓXIMO A AV. GENERAL OSÓRIO DE PAIVA,  " "02/09/2016" "Vigente" "4111/2013" "
                            
                            Obra Cancelada" "CE"
"25618" NA "Ulisses Guimarães                                                                                   " "29100-000" "Vila Velha                        - ES" "Av. Seringal, Com a Rua Bahia, 00 " "29/06/2017" "Vigente" "4107/2013" "
                            
                            Obra Cancelada" "ES"
"25619" NA "Parque das Gaivotas                                                                                 " "29100-000" "Vila Velha                        - ES" "Rua Praia 1,   " "29/06/2017" "Vigente" "4107/2013" "
                            
                            Obra Cancelada" "ES"
"1003784" NA "MANSÕES ODISSEIA                                                                                    " "72910-000" "Águas Lindas de Goiás                        - GO" "RUA B-TRÊS, QUADRA 01,  00 " "14/10/2016" "Vigente" "5839/2013" "
                            
                            Obra Cancelada" "GO"
"1001190" NA "JARDIM AMERICA I                                                                                    " "72910-000" "Águas Lindas de Goiás                        - GO" "Quadra 19 APM 01,  00 " "29/09/2016" "Vigente" "5020/2013" "
                            
                            Obra Cancelada" "GO"
"1001184" NA "BEQUIMÃO                                                                                            " "65000-000" "São Luís                        - MA" "RUA DELCY (DARCY) BATISTA,  000 " "30/03/2017" "Vigente" "5019/2013" "
                            
                            Obra Cancelada" "MA"
"25173" NA "Centro" "65208-000" "Santa Helena                        - MA" "RUA DEPUTADO LUIS ROCHA,  00 " "14/07/2014" "Vencido" "2710/2012" "
                            
                            Obra Cancelada" "MA"
"1016579" NA "Jardim Panorama                                                                                     " "35164-181" "Ipatinga                        - MG" "Rua Wilson Teixeira,  821 " "24/08/2016" "Vigente" "10135/2014" "
                            
                            Obra Cancelada" "MG"
"1012734" NA "Jardim Laguna                                                                                       " "32140-160" "Contagem                        - MG" "Rua Sequóia,   " "23/03/2016" "Vencido" "8808/2014" "
                            
                            Obra Cancelada" "MG"
"1016209" NA "Estrada Baiana                                                                                      " "78560-000" "Porto dos Gaúchos                        - MT" "Estrada Baiana - MT 338, Prédio, 00 " "30/06/2016" "Vigente" "29763/2014" "
                            
                            Obra Cancelada" "MT"
"1017709" NA "PONTE" "68721-000" "Salinópolis                        - PA" "TRAV. SANTO EXPEDITO,  00 " "31/07/2016" "Vigente" "32204/2014" "
                            
                            Obra Cancelada" "PA"
"1006785" NA "Guanabara                                                                                           " "67110-280" "Ananindeua                        - PA" "Rua da Pedreirinha, ESQUINA DA RUA SOCILAR, 01 " "21/12/2015" "Vencido" "7284/2013" "
                            
                            Obra Cancelada" "PA"
"24768" NA "Boa Vista" "55004-000" "Caruaru                        - PE" "Via Local 25,   " "11/12/2016" "Vigente" "10933/2014" "
                            
                            Obra Cancelada" "PE"
"1012807" NA "Angelim                                                                                             " "64040-542" "Teresina                        - PI" "Rua São Jorge, Vila Irmã Dulce  ,  " "22/03/2017" "Vigente" "8977/2014" "
                            
                            Obra Cancelada" "PI"
"24602" NA "Santa Rosa" "64012-410" "Teresina                        - PI" "Rua Francisco Nunes da Rocha, Parque Wall Ferraz - PQ Estael Freire ,  " "20/05/2017" "Vigente" "8424/2014" "
                            
                            Obra Cancelada" "PI"
"29402" 2945.32 "JARDIM FIGUEIRA" "86300-000" "Cornélio Procópio                        - PR" "AV. DA INTEGRAÇÃO JOSE TAVARES DE PAIVA,  1 " "30/11/2016" "Vigente" "9543/2015" "
                            
                            Obra Cancelada" "PR"
"1005533" NA "Conjunto Habitacional Monsenhor Francisco Gorski                                                    " "83602-728" "Campo Largo                        - PR" "Rua Nigéria,  00 " "01/12/2016" "Vigente" "6787/2013" "
                            
                            Obra Cancelada" "PR"
"20158" NA "São Pedro" "25956-280" "Teresópolis                        - RJ" "Rua São Pedro S/N, PRAÇA DOS EXPEDICONÁRIOS,  " "09/07/2015" "Vencido" "405/2011" "
                            
                            Obra Cancelada" "RJ"
"19963" NA "Jardim Califórnia" "24465-145" "São Gonçalo                        - RJ" "Rua Damas Ortiz,   " "23/06/2017" "Vigente" "11563/2014" "
                            
                            Obra Cancelada" "RJ"
"24915" NA "PANTANAL" "76800-000" "Porto Velho                        - RO" "AVENIDA JOSÉ VIEIRA CAÚLA, C/ RUA HUMAITÁ,  " "31/12/2016" "Vigente" "4110/2014" "
                            
                            Obra Cancelada" "RO"
"24908" NA "Areal                                                                                               " "76804-000" "Porto Velho                        - RO" "Rua Tenreiro Aranha, Esquina com Rua São Paulo, 0000 " "31/12/2016" "Vigente" "4110/2014" "
                            
                            Obra Cancelada" "RO"
"1004661" NA "QUINTA SECÇÂO DA BARRA                                                                              " "96225-000" "São José do Norte                        - RS" "TRAVESSA DOIS,  00 " "29/02/2016" "Vencido" "7428/2013" "
                            
                            Obra Cancelada" "RS"
"1003819" NA "Tijuca                                                                                              " "94852-170" "Alvorada                        - RS" "Rua do Parque, Esquina com Rua Georgete de Godoy, 000 " "13/10/2016" "Vigente" "5769/2013" "
                            
                            Obra Cancelada" "RS"
"1006099" NA "Cachoeira do Bom Jesus                                                                              " "88056-361" "Florianópolis                        - SC" "Rua da Caliandra Rosa, s/nº,  " "17/12/2016" "Vigente" "7098/2013" "
                            
                            Obra Cancelada" "SC"
"24544" NA "COMPLEXO TAIÇOCA" "49160-000" "Nossa Senhora do Socorro                        - SE" "RUA C, CONJUNTO NOVO HORIZONTE,  " "25/06/2017" "Vigente" "3997/2013" "
                            
                            Obra Cancelada" "SE"
